geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037120030,6037120030,2021,667,1190,1246.0974
1400000US06037120103,6037120103,2021,786,1316,1378.0371
1400000US06037120104,6037120104,2021,719,1655,1733.0178
1400000US06037120105,6037120105,2021,612,1172,1227.2489
1400000US06037120106,6037120106,2021,1014,1332,1394.7914
1400000US06037120107,6037120107,2021,1067,1432,1499.5055
1400000US06037120108,6037120108,2021,930,1438,1505.7883
1400000US06037120300,6037120300,2021,496,1342,1405.2628
1400000US06037120400,6037120400,2021,1371,1553,1626.2095
1400000US06037121010,6037121010,2021,363,2002,2096.3757
1400000US06037121020,6037121020,2021,432,1796,1880.6647
1400000US06037121101,6037121101,2021,575,1406,1472.2798
1400000US06037121102,6037121102,2021,270,2183,2285.9082
1400000US06037121210,6037121210,2021,266,1168,1223.0603
1400000US06037121221,6037121221,2021,111,1260,1319.3973
1400000US06037121222,6037121222,2021,687,1546,1618.8795
1400000US06037121600,6037121600,2021,153,2368,2479.6292
1400000US06037121801,6037121801,2021,839,1578,1652.3881
1400000US06037121802,6037121802,2021,253,1837,1923.5974
1400000US06037121900,6037121900,2021,558,1728,1809.4591
1400000US06037122000,6037122000,2021,535,1777,1860.769
1400000US06037122120,6037122120,2021,517,1733,1814.6948
1400000US06037122121,6037122121,2021,455,1286,1346.6229
1400000US06037122122,6037122122,2021,481,1561,1634.5867
1400000US06037122200,6037122200,2021,422,1804,1889.0419
1400000US06037122410,6037122410,2021,974,1369,1433.5356
1400000US06037122420,6037122420,2021,915,1508,1579.0881
1400000US06037123010,6037123010,2021,673,1329,1391.65
1400000US06037123020,6037123020,2021,315,1429,1496.364
1400000US06037123103,6037123103,2021,1002,1670,1748.725
1400000US06037123104,6037123104,2021,1031,1377,1441.9127
1400000US06037123203,6037123203,2021,857,1470,1539.2969
1400000US06037123204,6037123204,2021,822,1592,1667.048
1400000US06037123205,6037123205,2021,612,1516,1587.4653
1400000US06037123206,6037123206,2021,622,1242,1300.5487
1400000US06037123301,6037123301,2021,946,1806,1891.1361
1400000US06037123303,6037123303,2021,599,1657,1735.1122
1400000US06037123304,6037123304,2021,1346,1545,1617.8324
1400000US06037123410,6037123410,2021,949,1545,1617.8324
1400000US06037123420,6037123420,2021,1088,1352,1415.7343
1400000US06037123510,6037123510,2021,1269,1435,1502.6469
1400000US06037123520,6037123520,2021,469,1438,1505.7883
1400000US06037123601,6037123601,2021,1118,1517,1588.5125
1400000US06037123602,6037123602,2021,700,1530,1602.1252
1400000US06037123700,6037123700,2021,930,1734,1815.7419
1400000US06037123800,6037123800,2021,1204,1600,1675.4252
1400000US06037123901,6037123901,2021,900,1662,1740.3479
1400000US06037123902,6037123902,2021,671,1622,1698.4622
1400000US06037124000,6037124000,2021,1130,1736,1817.8363
1400000US06037124102,6037124102,2021,1077,1740,1822.0248
1400000US06037124103,6037124103,2021,372,1312,1373.8486
1400000US06037124104,6037124104,2021,869,1453,1521.4955
1400000US06037124105,6037124105,2021,706,1466,1535.1083
1400000US06037124201,6037124201,2021,492,1473,1542.4382
1400000US06037124203,6037124203,2021,551,1553,1626.2095
1400000US06037124204,6037124204,2021,768,1312,1373.8486
1400000US06037124300,6037124300,2021,845,1436,1503.6941
1400000US06037124400,6037124400,2021,1143,1812,1897.4189
1400000US06037124500,6037124500,2021,580,1814,1899.5132
1400000US06037124600,6037124600,2021,824,2449,2564.4475
1400000US06037124700,6037124700,2021,1408,1901,1990.6145
1400000US06037124902,6037124902,2021,1323,1584,1658.6709
1400000US06037124903,6037124903,2021,1212,1843,1929.8802
1400000US06037125101,6037125101,2021,1674,1715,1795.8463
1400000US06037125102,6037125102,2021,467,1945,2036.6886
1400000US06037125200,6037125200,2021,1276,1925,2015.7458
1400000US06037125310,6037125310,2021,1680,1899,1988.5201
1400000US06037125321,6037125321,2021,1263,1631,1707.8865
1400000US06037125322,6037125322,2021,1359,1793,1877.5233
1400000US06037125402,6037125402,2021,1587,2004,2098.47
1400000US06037125403,6037125403,2021,1180,1893,1982.2373
1400000US06037125404,6037125404,2021,1553,2087,2185.3826
1400000US06037125501,6037125501,2021,1441,1659,1737.2064
1400000US06037125502,6037125502,2021,1495,1765,1848.2034
1400000US06037125600,6037125600,2021,625,1776,1859.7219
1400000US06037127102,6037127102,2021,921,1563,1636.6809
1400000US06037127103,6037127103,2021,1001,1474,1543.4854
1400000US06037127104,6037127104,2021,978,1539,1611.5496
1400000US06037127210,6037127210,2021,1352,1431,1498.4584
1400000US06037127220,6037127220,2021,1183,1503,1573.8524
1400000US06037127300,6037127300,2021,852,1593,1668.0951
1400000US06037127400,6037127400,2021,1398,1527,1598.9839
1400000US06037127520,6037127520,2021,1430,1339,1402.1213
1400000US06037127603,6037127603,2021,802,1553,1626.2095
1400000US06037127604,6037127604,2021,1255,1418,1484.8455
1400000US06037127605,6037127605,2021,997,1676,1755.0078
1400000US06037127606,6037127606,2021,746,1735,1816.7891
1400000US06037127711,6037127711,2021,649,1571,1645.058
1400000US06037127712,6037127712,2021,1333,1533,1605.2667
1400000US06037127803,6037127803,2021,1268,1697,1776.9978
1400000US06037127804,6037127804,2021,1199,1617,1693.2266
1400000US06037127805,6037127805,2021,990,1401,1467.0441
1400000US06037127806,6037127806,2021,875,1463,1531.9668
1400000US06037127910,6037127910,2021,1106,1387,1452.3842
1400000US06037127920,6037127920,2021,879,1706,1786.422
